,Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
14,02A,Fulton,4884.0,178.0,1701.0,931.0,19.0,2829.0,2829.0,57.9
13,01T,Fulton,1799.0,153.0,386.0,154.0,4.0,697.0,697.0,38.7
12,01S,Fulton,2118.0,208.0,403.0,160.0,3.0,774.0,774.0,36.5
21,02F2,Fulton,851.0,45.0,225.0,109.0,2.0,381.0,381.0,44.8
11,01R,Fulton,1550.0,169.0,113.0,99.0,8.0,389.0,389.0,25.1
9,01J,Fulton,2848.0,200.0,622.0,261.0,12.0,1095.0,1095.0,38.4
8,01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0
7,01H,Fulton,896.0,50.0,164.0,99.0,4.0,317.0,317.0,35.4
6,01G,Fulton,2312.0,122.0,655.0,239.0,3.0,1019.0,1019.0,44.1
5,01F,Fulton,1593.0,103.0,218.0,91.0,4.0,416.0,416.0,26.1
4,01E,Fulton,3720.0,106.0,1401.0,635.0,1.0,2143.0,2143.0,57.6
3,01D,Fulton,754.0,24.0,251.0,91.0,7.0,373.0,373.0,49.5
2,01C,Fulton,1908.0,169.0,312.0,137.0,0.0,618.0,618.0,32.4
1,01B,Fulton,4327.0,237.0,1634.0,728.0,4.0,2603.0,2603.0,60.2
10,01P,Fulton,1444.0,161.0,190.0,141.0,4.0,496.0,496.0,34.3
46,04A,Fulton,1554.0,69.0,263.0,137.0,0.0,469.0,469.0,30.2
22,02G,Fulton,3895.0,181.0,1430.0,619.0,6.0,2236.0,2236.0,57.4
24,02K,Fulton,1461.0,43.0,513.0,233.0,0.0,789.0,789.0,54.0
44,03S,Fulton,908.0,76.0,158.0,80.0,0.0,314.0,314.0,34.6
43,03P2,Fulton,23.0,0.0,7.0,0.0,0.0,7.0,7.0,30.4
42,03P1A,Fulton,4404.0,251.0,1257.0,476.0,10.0,1994.0,1994.0,45.3
41,03N,Fulton,2804.0,184.0,401.0,131.0,18.0,734.0,734.0,26.2
40,03M,Fulton,965.0,143.0,210.0,69.0,2.0,424.0,424.0,43.9
39,03L,Fulton,748.0,49.0,72.0,36.0,0.0,157.0,157.0,21.0
38,03I,Fulton,1607.0,90.0,308.0,102.0,18.0,518.0,518.0,32.2
37,03H,Fulton,1091.0,71.0,174.0,73.0,1.0,319.0,319.0,29.2
36,03G,Fulton,1033.0,70.0,126.0,37.0,2.0,235.0,235.0,22.7
23,02J,Fulton,2273.0,96.0,767.0,341.0,7.0,1211.0,1211.0,53.3
35,03F,Fulton,2328.0,126.0,759.0,289.0,3.0,1177.0,1177.0,50.6
33,03D,Fulton,1235.0,70.0,175.0,85.0,14.0,344.0,344.0,27.9
32,03C,Fulton,1879.0,109.0,251.0,187.0,4.0,551.0,551.0,29.3
31,03B,Fulton,777.0,50.0,78.0,58.0,0.0,186.0,186.0,23.9
30,03A,Fulton,2230.0,102.0,316.0,190.0,16.0,624.0,624.0,28.0
29,02W,Fulton,978.0,58.0,365.0,103.0,0.0,526.0,526.0,53.8
28,02S,Fulton,790.0,37.0,240.0,113.0,0.0,390.0,390.0,49.4
27,02L2,Fulton,2249.0,123.0,781.0,305.0,6.0,1215.0,1215.0,54.0
26,02L1A,Fulton,1477.0,74.0,488.0,68.0,5.0,635.0,635.0,43.0
25,02L1,Fulton,5546.0,199.0,1857.0,1112.0,7.0,3175.0,3175.0,57.2
34,03E,Fulton,2894.0,243.0,405.0,172.0,30.0,850.0,850.0,29.4
94,07N,Fulton,2139.0,125.0,578.0,313.0,8.0,1024.0,1024.0,47.9
